Invoice Number,Net Amount,Tax Amount,Gross Amount,Discount,Bill Date,Store Id,Till Id,Total Amount
157395,628.5700,31.4290,660.0000,0.0000,2026-03-18,12,12,660.0000
157396,142.8600,7.1430,150.0000,0.0000,2026-03-18,12,12,150.0000
157397,171.4300,8.5720,180.0000,0.0000,2026-03-18,12,12,180.0000
157398,400.0000,20.0000,420.0000,0.0000,2026-03-18,12,12,420.0000
157399,142.8600,7.1430,150.0000,0.0000,2026-03-18,12,12,150.0000
157400,428.5700,21.4290,450.0000,0.0000,2026-03-18,12,12,450.0000
157401,390.4800,19.5240,410.0000,0.0000,2026-03-18,12,12,410.0000
157402,333.3300,16.6670,350.0000,0.0000,2026-03-18,12,12,350.0000
157403,400.0100,20.0010,420.0000,0.0000,2026-03-18,12,12,420.0000
157404,400.0000,20.0000,420.0000,0.0000,2026-03-18,12,12,420.0000
157405,280.9500,14.0480,295.0000,0.0000,2026-03-18,12,12,295.0000
157406,171.4300,8.5720,180.0000,0.0000,2026-03-18,12,12,180.0000
