Invoice Number,Net Amount,Tax Amount,Gross Amount,Discount,Bill Date,Store Id,Till Id,Total Amount
157545,266.6700,13.3340,280.0000,0.0000,2026-03-20,12,12,280.0000
157546,142.8600,7.1430,150.0000,0.0000,2026-03-20,12,12,150.0000
157547,171.4300,8.5720,180.0000,0.0000,2026-03-20,12,12,180.0000
157548,219.0500,10.9530,230.0000,0.0000,2026-03-20,12,12,230.0000
157549,333.3400,16.6670,350.0000,0.0000,2026-03-20,12,12,350.0000
157550,104.7600,5.2380,110.0000,0.0000,2026-03-20,12,12,110.0000
157551,200.0000,10.0000,210.0000,0.0000,2026-03-20,12,12,210.0000
157552,333.3200,16.6660,350.0000,0.0000,2026-03-20,12,12,350.0000
157553,676.2000,33.8100,710.0000,0.0000,2026-03-20,12,12,710.0000
157554,1214.2800,60.7140,1275.0000,0.0000,2026-03-20,12,12,1275.0000
157555,285.7200,14.2860,300.0000,0.0000,2026-03-20,12,12,300.0000
157556,466.6600,23.3330,490.0000,0.0000,2026-03-20,12,12,490.0000
157557,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157558,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157559,171.4300,8.5720,180.0000,0.0000,2026-03-20,12,12,180.0000
157560,214.2800,10.7140,225.0000,0.0000,2026-03-20,12,12,225.0000
157561,628.5800,31.4290,660.0000,0.0000,2026-03-20,12,12,660.0000
157562,142.8600,7.1430,150.0000,0.0000,2026-03-20,12,12,150.0000
157563,123.8100,6.1910,130.0000,0.0000,2026-03-20,12,12,130.0000
157564,190.4800,9.5240,200.0000,0.0000,2026-03-20,12,12,200.0000
157565,242.8600,12.1430,255.0000,0.0000,2026-03-20,12,12,255.0000
157566,419.0400,20.9520,440.0000,0.0000,2026-03-20,12,12,440.0000
157567,123.8100,6.1910,130.0000,0.0000,2026-03-20,12,12,130.0000
157568,476.1900,23.8100,500.0000,0.0000,2026-03-20,12,12,500.0000
157569,395.2300,19.7620,415.0000,0.0000,2026-03-20,12,12,415.0000
157570,552.3800,27.6190,580.0000,0.0000,2026-03-20,12,12,580.0000
157571,347.6100,17.3810,365.0000,0.0000,2026-03-20,12,12,365.0000
157572,180.9500,9.0480,190.0000,0.0000,2026-03-20,12,12,190.0000
157573,295.2400,14.7620,310.0000,0.0000,2026-03-20,12,12,310.0000
157574,247.6200,12.3810,260.0000,0.0000,2026-03-20,12,12,260.0000
157575,247.6200,12.3810,260.0000,0.0000,2026-03-20,12,12,260.0000
157576,495.2500,24.7630,520.0000,0.0000,2026-03-20,12,12,520.0000
157577,428.5700,21.4290,450.0000,0.0000,2026-03-20,12,12,450.0000
157578,580.9600,29.0480,610.0000,0.0000,2026-03-20,12,12,610.0000
157579,266.6600,13.3330,280.0000,0.0000,2026-03-20,12,12,280.0000
157580,571.4300,28.5720,600.0000,0.0000,2026-03-20,12,12,600.0000
157581,333.3300,16.6670,350.0000,0.0000,2026-03-20,12,12,350.0000
157582,371.4300,18.5720,390.0000,0.0000,2026-03-20,12,12,390.0000
157583,466.6700,23.3340,490.0000,0.0000,2026-03-20,12,12,490.0000
157584,171.4300,8.5720,180.0000,0.0000,2026-03-20,12,12,180.0000
157585,161.9100,8.0960,170.0000,0.0000,2026-03-20,12,12,170.0000
157586,609.5300,30.4770,640.0000,0.0000,2026-03-20,12,12,640.0000
157587,266.6700,13.3340,280.0000,0.0000,2026-03-20,12,12,280.0000
157588,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157589,200.0000,10.0000,210.0000,0.0000,2026-03-20,12,12,210.0000
157590,609.5300,30.4770,640.0000,0.0000,2026-03-20,12,12,640.0000
157591,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157592,190.4800,9.5240,200.0000,0.0000,2026-03-20,12,12,200.0000
157593,595.2400,29.7620,625.0000,0.0000,2026-03-20,12,12,625.0000
157594,428.5700,21.4290,450.0000,0.0000,2026-03-20,12,12,450.0000
157595,266.6700,13.3340,280.0000,0.0000,2026-03-20,12,12,280.0000
157596,123.8100,6.1910,130.0000,0.0000,2026-03-20,12,12,130.0000
157597,371.4300,18.5720,390.0000,0.0000,2026-03-20,12,12,390.0000
157598,228.5700,11.4290,240.0000,0.0000,2026-03-20,12,12,240.0000
157599,519.2900,25.9650,545.0000,0.0000,2026-03-20,12,12,545.0000
157600,285.7200,14.2860,300.0000,0.0000,2026-03-20,12,12,300.0000
157601,166.6600,8.3330,175.0000,0.0000,2026-03-20,12,12,175.0000
157602,180.0000,9.0000,189.0000,0.0000,2026-03-20,12,12,189.0000
157603,428.5800,21.4290,450.0000,0.0000,2026-03-20,12,12,450.0000
157604,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157605,166.6600,8.3330,175.0000,0.0000,2026-03-20,12,12,175.0000
157606,133.3300,6.6670,140.0000,0.0000,2026-03-20,12,12,140.0000
157607,171.4100,8.5710,180.0000,0.0000,2026-03-20,12,12,180.0000
157608,104.7600,5.2380,110.0000,0.0000,2026-03-20,12,12,110.0000
157609,377.9980,0.0000,398.0000,127.0000,2026-03-20,12,12,270.9980
157610,1026.9920,0.0000,1047.0000,518.0100,2026-03-20,12,12,528.9920
157611,238.0010,0.0000,258.0000,87.0000,2026-03-20,12,12,171.0010
157612,105.0000,0.0000,125.0000,40.0000,2026-03-20,12,12,85.0000
157613,167.9990,0.0000,188.0000,62.0000,2026-03-20,12,12,125.9990
157614,350.2410,0.0000,370.0000,170.0000,2026-03-20,12,12,200.0010
157615,466.6700,23.3340,490.0000,0.0000,2026-03-20,12,12,490.0000
157616,285.7200,14.2860,300.0000,0.0000,2026-03-20,12,12,300.0000
157617,315.0010,0.0000,335.0000,110.0000,2026-03-20,12,12,225.0010
