Invoice_No,Invocie_date,Invoice_amount,tax_amount,discount_amount,Net_amount,StoreId,TillId
C41GIV009104,2026-03-17,4744.92,854.08,0,5599,1,1
C41GIV009105,2026-03-17,4236.44,762.56,0,4999,1,1
C41GIV009106,2026-03-17,12031.36,2165.64,1,14197,1,1
C41GIV009107,2026-03-17,9321.18,1677.82,1,10999,1,1
C41GIV009108,2026-03-17,827.62,41.38,1000,869,1,1
C41GIV009109,2026-03-17,5507.62,991.38,0,6499,1,1
C41GIV009110,2026-03-17,3889.84,700.16,510,4590,1,1
C41GIV009111,2026-03-17,21183.92,3813.08,0,24997,1,1
C41GIV009112,2026-03-17,0.89,0.16,10497.95,1,1,1
C41GIV009113,2026-03-17,2380,119,0,2499,1,1
C41GIV009114,2026-03-17,11015.26,1982.74,1,12998,1,1
C41GIV009115,2026-03-17,2541.52,457.48,0,2999,1,1
C41GIV009116,2026-03-17,2047.62,102.38,600,2150,1,1
C41GIV009117,2026-03-17,27433.9,4938.1,3,32372,1,1
C41GIV009118,2026-03-17,475.24,23.76,4500,499,1,1
C41GIV009119,2026-03-17,9828.82,1769.18,1,11598,1,1
C41GIV009120,2026-03-17,2965.26,533.74,1500,3499,1,1
C41GIV009121,2026-03-17,7486.84,1046.16,0,8533,1,1
C41GIV009122,2026-03-17,1046.66,52.34,4500,1099,1,1
C41GIV009123,2026-03-17,1309.52,65.48,1375,1375,1,1
