Invoice_No,Invocie_date,Invoice_amount,tax_amount,discount_amount,Net_amount,StoreId,TillId
C41GIV009240,2026-03-23,3388.98,610.02,4000,3999,1,1
C41GIV009241,2026-03-23,11016.1,1982.9,1,12999,1,1
C41GIV009242,2026-03-23,5083.9,915.1,0,5999,1,1
C41GIV009243,2026-03-23,5472.88,985.12,0,6458,1,1
C41GIV009244,2026-03-23,4744.92,854.08,0,5599,1,1
C41GIV009245,2026-03-23,2456.78,442.22,0,2899,1,1
C41GIV009246,2026-03-23,3897.46,701.54,0,4599,1,1
C41GIV009247,2026-03-23,2330.5,419.5,0,2750,1,1
C41GIV009248,2026-03-23,14237.28,2562.72,0,16800,1,1
C41GIV009249,2026-03-23,21656.78,3898.22,3,25555,1,1
C41GIV009250,2026-03-23,83.9,15.1,4500,99,1,1
C41GIV009251,2026-03-23,9828.82,1769.18,1,11598,1,1
C41GIV009252,2026-03-23,2796.62,503.38,0,3300,1,1
C41GIV009253,2026-03-23,2380,119,0,2499,1,1
C41GIV009254,2026-03-23,2456.78,442.22,0,2899,1,1
C41GIV009255,2026-03-23,25385.6,4569.4,3,29955,1,1
C41GIV009256,2026-03-23,16609.32,2989.68,1,19599,1,1
C41GIV009257,2026-03-23,3812.72,686.28,1500,4499,1,1
C41GIV009258,2026-03-23,58470.34,10524.66,9,68995,1,1
C41GIV009259,2026-03-23,3139.98,157.02,13500,3297,1,1
C41GIV009260,2026-03-23,4771.4,586.6,0,5358,1,1
C41GIV009261,2026-03-23,20683.4,3413.6,3,24097,1,1
C41GIV009262,2026-03-23,570.48,28.52,3000,599,1,1
