Invoice_No,Invocie_date,Invoice_amount,tax_amount,discount_amount,Net_amount,StoreId,TillId
C41GIV008171,2026-02-01,5820.8,813.2,6634,6634,1,1
C41GIV008172,2026-02-01,1559.34,77.96,701.7,1637,1,1
C41GIV008173,2026-02-01,8832.46,1589.84,1895.7,10422,1,1
C41GIV008174,2026-02-01,5074.2,717.8,5792,5792,1,1
C41GIV008175,2026-02-01,11605.94,2089.06,0,13695,1,1
C41GIV008176,2026-02-01,4908.48,883.52,5792,5792,1,1
C41GIV008177,2026-02-01,25025.42,4504.58,10532,29530,1,1
C41GIV008178,2026-02-01,20926.26,3766.74,11587,24693,1,1
C41GIV008179,2026-02-01,15870.34,2856.66,1000,18727,1,1
C41GIV008180,2026-02-01,4744.92,854.08,5599,5599,1,1
C41GIV008181,2026-02-01,13278.18,2117.82,0,15396,1,1
C41GIV008182,2026-02-01,2227.6,111.4,2339,2339,1,1
C41GIV008183,2026-02-01,21498.56,3869.74,3158.7,25368,1,1
C41GIV008184,2026-02-01,18175,3271.5,10848.5,21447,1,1
C41GIV008185,2026-02-01,4730.52,851.48,5582,5582,1,1
C41GIV008186,2026-02-01,4791.42,239.58,5031,5031,1,1
C41GIV008187,2026-02-01,11192,1499.5,12691.5,12692,1,1
C41GIV008188,2026-02-01,12585.14,1730.86,4317,14316,1,1
C41GIV008189,2026-02-01,5353.4,963.6,6317,6317,1,1
C41GIV008190,2026-02-01,6778.82,1220.18,0,7999,1,1
C41GIV008191,2026-02-01,5083.9,915.1,0,5999,1,1
C41GIV008192,2026-02-01,5931.36,1067.64,0,6999,1,1
C41GIV008193,2026-02-01,9370.76,1686.74,11057.5,11058,1,1
C41GIV008194,2026-02-01,2405.14,120.26,1683.6,2525,1,1
C41GIV008195,2026-02-01,7498.74,1349.76,8848.5,8849,1,1
C41GIV008196,2026-02-01,26776.86,3646.64,10270.5,30424,1,1
C41GIV008197,2026-02-01,36547.46,6578.54,3000,43126,1,1
C41GIV008198,2026-02-01,2106,105.3,947.7,2211,1,1
C41GIV008199,2026-02-01,27114.42,4880.58,0,31995,1,1
C41GIV008200,2026-02-01,2856.18,142.82,2999,2999,1,1
C41GIV008201,2026-02-01,2541.52,457.48,0,2999,1,1
C41GIV008202,2026-02-01,4772.88,859.12,5632,5632,1,1
C41GIV008203,2026-02-01,5126.74,662.26,5789,5789,1,1
C41GIV008204,2026-02-01,8965.74,1353.26,10319,10319,1,1
C41GIV008205,2026-02-01,15195.32,2174.68,11371,17370,1,1
C41GIV008206,2026-02-01,8812.7,1586.3,10399,10399,1,1
C41GIV008207,2026-02-01,5931.36,1067.64,0,6999,1,1
C41GIV008208,2026-02-01,4748.78,620.22,5369,5369,1,1
C41GIV008209,2026-02-01,7626.28,1372.72,0,8999,1,1
C41GIV008210,2026-02-01,4008.56,200.44,4209,4209,1,1
C41GIV008211,2026-02-02,1937.14,96.86,2034,2034,1,1
C41GIV008212,2026-02-02,2496.86,449.44,1262.7,2946,1,1
C41GIV008213,2026-02-02,2063.56,371.44,2435,2435,1,1
C41GIV008214,2026-02-02,8272.78,1030.52,2399.7,9303,1,1
C41GIV008215,2026-02-02,4503.86,550.14,5054,5054,1,1
C41GIV008216,2026-02-02,10370.58,1866.72,1359.7,12237,1,1
C41GIV008217,2026-02-02,2405.14,120.26,1683.6,2525,1,1
C41GIV008218,2026-02-02,4503.86,550.14,5054,5054,1,1
C41GIV008219,2026-02-02,21359.58,3577.92,1579.5,24938,1,1
C41GIV008220,2026-02-02,5338.14,960.86,0,6299,1,1
C41GIV008221,2026-02-02,27583.9,4965.1,0,32549,1,1
C41GIV008222,2026-02-02,10592.46,1515.54,12108,12108,1,1
C41GIV008223,2026-02-02,10166.58,1569.42,4737,11736,1,1
C41GIV008224,2026-02-02,8211.96,1009.04,9221,9221,1,1
