Invoice_number,Invoice_discount,Total_Tax,Gross_Amount,Net_amount,Invoice Date,StoreId,TillId
T1-54881,0,15.8,158,142.2,2026-03-23,1,1
T1-54882,0,17.8,178,160.2,2026-03-23,1,1
T1-54883,0,62.6,626,563.4,2026-03-23,1,1
T1-54884,0,17.30,173,155.70,2026-03-23,1,1
T1-54885,0,35.4,354,318.6,2026-03-23,1,1
T1-54886,0,44.6,446,401.4,2026-03-23,1,1
T1-54887,0,8.90,89,80.10,2026-03-23,1,1
T1-54888,0,58.4,584,525.6,2026-03-23,1,1
T1-54889,0,11.8,118,106.2,2026-03-23,1,1
T1-54890,0,39.4,394,354.6,2026-03-23,1,1
T1-54891,0,64.30,643,578.70,2026-03-23,1,1
T1-54892,0,20.8,208,187.2,2026-03-23,1,1
T1-54893,0,30.70,307,276.30,2026-03-23,1,1
T1-54894,0,40.30,403,362.70,2026-03-23,1,1
T1-54895,0,14.30,143,128.70,2026-03-23,1,1
T1-54896,0,99.70,997,897.30,2026-03-23,1,1
T1-54897,0,8.90,89,80.10,2026-03-23,1,1
T1-54898,0,33.70,337,303.30,2026-03-23,1,1
T1-54899,0,26.70,267,240.30,2026-03-23,1,1
T1-54900,0,35.8,358,322.2,2026-03-23,1,1
T1-54901,0,0,0,0,2026-03-23,1,1
T1-54902,0,18.90,189,170.10,2026-03-23,1,1
T1-54903,0,65.0,650,585.0,2026-03-23,1,1
T1-54904,0,65.50,655,589.50,2026-03-23,1,1
T1-54905,0,34.70,347,312.30,2026-03-23,1,1
