Invoice_number,Invoice_discount,Total_Tax,Gross_Amount,Net_amount,Invoice Date,StoreId,TillId
T1-54783,0,46.6,466,419.4,2026-03-22,1,1
T1-54784,0,15.8,158,142.2,2026-03-22,1,1
T1-54785,158,0,158,158,2026-03-22,1,1
T1-54786,0,8.4,84,75.6,2026-03-22,1,1
T1-54787,0,8.90,89,80.10,2026-03-22,1,1
T1-54788,0,8.4,84,75.6,2026-03-22,1,1
T1-54789,0,17.70,177,159.30,2026-03-22,1,1
T1-54790,0,18.30,183,164.70,2026-03-22,1,1
T1-54791,0,35.6,356,320.4,2026-03-22,1,1
T1-54792,0,89.4,894,804.6,2026-03-22,1,1
T1-54793,0,37.2,372,334.8,2026-03-22,1,1
T1-54794,0,64.50,645,580.50,2026-03-22,1,1
T1-54795,0,28.8,288,259.2,2026-03-22,1,1
T1-54796,0,163.10,1631,1467.90,2026-03-22,1,1
T1-54797,0,45.2,452,406.8,2026-03-22,1,1
T1-54798,0,26.30,263,236.70,2026-03-22,1,1
T1-54799,0,54.10,541,486.90,2026-03-22,1,1
T1-54800,0,52.6,526,473.4,2026-03-22,1,1
T1-54801,0,17.8,178,160.2,2026-03-22,1,1
T1-54802,0,41.70,417,375.30,2026-03-22,1,1
T1-54803,0,23.8,238,214.2,2026-03-22,1,1
T1-54804,0,15.4,154,138.6,2026-03-22,1,1
T1-54805,0,11.8,118,106.2,2026-03-22,1,1
T1-54806,0,8.90,89,80.10,2026-03-22,1,1
T1-54807,0,67.6,676,608.4,2026-03-22,1,1
T1-54808,0,19.8,198,178.2,2026-03-22,1,1
T1-54809,0,94.4,944,849.6,2026-03-22,1,1
T1-54810,0,17.8,178,160.2,2026-03-22,1,1
T1-54811,0,43.70,437,393.30,2026-03-22,1,1
T1-54812,0,21.8,218,196.2,2026-03-22,1,1
T1-54813,0,65.6,656,590.4,2026-03-22,1,1
T1-54814,0,19.90,199,179.10,2026-03-22,1,1
T1-54815,0,28.30,283,254.70,2026-03-22,1,1
T1-54816,0,8.4,84,75.6,2026-03-22,1,1
T1-54817,0,46.2,462,415.8,2026-03-22,1,1
T1-54818,0,8.90,89,80.10,2026-03-22,1,1
T1-54819,200,40.6,606,565.4,2026-03-22,1,1
T1-54820,0,11.90,119,107.10,2026-03-22,1,1
T1-54821,0,62.10,621,558.90,2026-03-22,1,1
T1-54822,0,25.8,258,232.2,2026-03-22,1,1
T1-54823,0,50.50,505,454.50,2026-03-22,1,1
