Invoice_number,Invoice_discount,Total_Tax,Gross_Amount,Net_amount,Invoice Date,StoreId,TillId
T1-53521,0,0,0,0,2026-02-18,1,1
T1-53522,0,0,0,0,2026-02-19,1,1
T1-53523,0,11.10,111,99.90,2026-02-20,1,1
T1-53524,0,17.700000000000002,177,159.299999999999998,2026-02-20,1,1
T1-53525,0,147.2,1472,1324.8,2026-02-20,1,1
T1-53526,0,58.4,584,525.6,2026-02-20,1,1
T1-53527,0,7.90,79,71.10,2026-02-20,1,1
T1-53528,0,193.30,1933,1739.70,2026-02-20,1,1
T1-53529,0,35.8,358,322.2,2026-02-20,1,1
T1-53530,0,22.2,222,199.8,2026-02-20,1,1
T1-53531,0,28.90,289,260.10,2026-02-20,1,1
T1-53532,0,60.6,606,545.4,2026-02-20,1,1
T1-53533,0,0,0,0,2026-02-20,1,1
T1-53534,0,23.90,239,215.10,2026-02-20,1,1
T1-53535,0,72.6,726,653.4,2026-02-20,1,1
T1-53536,0,37.8,378,340.2,2026-02-20,1,1
T1-53537,0,44.4,444,399.6,2026-02-20,1,1
T1-53538,0,22.2,222,199.8,2026-02-20,1,1
T1-53539,0,19.8,198,178.2,2026-02-20,1,1
T1-53540,0,11.10,111,99.90,2026-02-20,1,1
T1-53541,0,57.6,576,518.4,2026-02-20,1,1
T1-53542,0,11.10,111,99.90,2026-02-20,1,1
T1-53543,200,1.8,218,216.2,2026-02-20,1,1
T1-53544,0,92.2,922,829.8,2026-02-20,1,1
T1-53545,0,23.90,239,215.10,2026-02-20,1,1
T1-53546,0,22.2,222,199.8,2026-02-20,1,1
T1-53547,0,9.90,99,89.10,2026-02-20,1,1
T1-53548,0,22.2,222,199.8,2026-02-20,1,1
T1-53549,0,11.10,111,99.90,2026-02-20,1,1
T1-53550,0,44.4,444,399.6,2026-02-20,1,1
T1-53551,200,204.12,2241,2036.88,2026-02-20,1,1
T1-53552,0,44.4,444,399.6,2026-02-21,1,1
T1-53553,0,22.2,222,199.8,2026-02-21,1,1
T1-53554,0,11.10,111,99.90,2026-02-21,1,1
T1-53555,0,39.8,398,358.2,2026-02-21,1,1
T1-53556,0,70.6,706,635.4,2026-02-21,1,1
T1-53557,300,3.30,333,329.70,2026-02-21,1,1
T1-53558,0,44.4,444,399.6,2026-02-21,1,1
T1-53559,0,30.30,303,272.70,2026-02-21,1,1
T1-53560,0,69.70,754,684.30,2026-02-21,1,1
T1-53561,0,66.6,666,599.4,2026-02-21,1,1
T1-53562,0,66.6,666,599.4,2026-02-21,1,1
T1-53563,118,0,118,118,2026-02-21,1,1
T1-53564,118,0,118,118,2026-02-21,1,1
T1-53565,1192,0,1192,1192,2026-02-21,1,1
T1-53566,0,23.90,239,215.10,2026-02-21,1,1
T1-53567,0,178.8,1788,1609.2,2026-02-21,1,1
T1-53568,0,25.90,259,233.10,2026-02-21,1,1
T1-53569,0,5.90,59,53.10,2026-02-21,1,1
T1-53570,0,22.2,222,199.8,2026-02-21,1,1
T1-53571,0,22.2,222,199.8,2026-02-21,1,1
T1-53572,0,29.8,298,268.2,2026-02-21,1,1
T1-53573,0,9.90,99,89.10,2026-02-21,1,1
T1-53574,0,11.10,111,99.90,2026-02-21,1,1
T1-53575,0,33.30,333,299.70,2026-02-21,1,1
T1-53576,149.5,0,498,498,2026-02-21,1,1
T1-53577,174,0,488,488,2026-02-21,1,1
T1-53578,224,0,547,547,2026-02-21,1,1
T1-53579,0,55.70,557,501.30,2026-02-21,1,1
T1-53580,0,44.4,444,399.6,2026-02-21,1,1
T1-53581,0,17.90,179,161.10,2026-02-21,1,1
T1-53582,0,44.4,444,399.6,2026-02-21,1,1
T1-53583,0,44.4,444,399.6,2026-02-21,1,1
T1-53584,400,4.4,444,439.6,2026-02-21,1,1
T1-53585,0,5.90,129,123.10,2026-02-21,1,1
T1-53586,0,24.8,248,223.2,2026-02-21,1,1
T1-53587,0,0,0,0,2026-02-21,1,1
T1-53588,174,0,488,488,2026-02-21,1,1
T1-53589,0,30.4,304,273.6,2026-02-22,1,1
T1-53590,0,16.10,161,144.90,2026-02-22,1,1
T1-53591,0,11.8,118,106.2,2026-02-22,1,1
T1-53592,0,44.4,444,399.6,2026-02-22,1,1
T1-53593,0,0,280,280,2026-02-22,1,1
T1-53594,0,33.30,333,299.70,2026-02-22,1,1
T1-53595,0,22.2,222,199.8,2026-02-22,1,1
T1-53596,0,22.2,222,199.8,2026-02-22,1,1
T1-53597,0,37.8,511.34,473.54,2026-02-22,1,1
T1-53598,0,73.6,736,662.4,2026-02-22,1,1
T1-53599,0,35.4,354,318.6,2026-02-22,1,1
T1-53600,0,15.8,158,142.2,2026-02-22,1,1
T1-53601,0,0,57,57,2026-02-22,1,1
T1-53602,0,33.30,333,299.70,2026-02-22,1,1
T1-53603,0,24.8,248,223.2,2026-02-22,1,1
T1-53604,0,22.2,222,199.8,2026-02-22,1,1
T1-53605,383,0,383,383,2026-02-22,1,1
T1-53606,0,22.2,222,199.8,2026-02-22,1,1
T1-53607,0,29.50,295,265.50,2026-02-22,1,1
T1-53608,0,32.30,323,290.70,2026-02-22,1,1
T1-53609,0,56.70,833.68,776.98,2026-02-22,1,1
T1-53610,0,34.8,348,313.2,2026-02-22,1,1
T1-53611,0,44.4,444,399.6,2026-02-22,1,1
